Date,Location,MinTemp,MaxTemp,WindDirection,RainToday,RainTomorrow,,,
01-01-2022,Andhra Pradesh,16.9,22.9,SW,No,No,,,
02-01-2022,Andhra Pradesh,13.9,24.1,SE,No,No,,,
03-01-2022,Andhra Pradesh,13.8,29.1,SW,No,No,,,
04-01-2022,Andhra Pradesh,15.1,33.3,W,No,No,,,
05-01-2022,Andhra Pradesh,14.6,30.5,SW,No,No,,,
06-01-2022,Andhra Pradesh,15.2,31,WSW,No,No,,,
07-01-2022,Andhra Pradesh,16,25.1,SW,No,No,,,
08-01-2022,Andhra Pradesh,14.3,23.8,SE,No,No,,,
09-01-2022,Andhra Pradesh,13.8,26,ESE,No,No,,,
10-01-2022,Andhra Pradesh,13.3,28.7,SW,No,No,,,
11-01-2022,Andhra Pradesh,14.4,28.4,SW,No,No,,,
12-01-2022,Andhra Pradesh,14.5,35.2,N,No,No,,,
13-01-2022,Andhra Pradesh,21.1,41.3,NW,No,No,,,
14-01-2022,Andhra Pradesh,20,32.3,W,No,No,,,
15-01-2022,Andhra Pradesh,15.1,25.2,SW,No,No,,,
16-01-2022,Andhra Pradesh,14.4,27.6,SSE,No,No,,,
17-01-2022,Andhra Pradesh,13.3,27.2,W,No,No,,,
18-01-2022,Andhra Pradesh,16.5,32.9,SE,No,No,,,
19-01-2022,Andhra Pradesh,19,38.5,W,No,No,,,
20-01-2022,Andhra Pradesh,19.4,36.9,SW,No,No,,,
21-01-2022,Andhra Pradesh,17.4,29,SW,No,No,,,
22-01-2022,Andhra Pradesh,18.4,27.6,WNW,No,No,,,
23-01-2022,Andhra Pradesh,14.3,27.6,WNW,No,No,,,
24-01-2022,Andhra Pradesh,17.7,24.4,WSW,No,No,,,
25-01-2022,Andhra Pradesh,13.9,30.4,WSW,No,No,,,
26-01-2022,Andhra Pradesh,16.9,36.6,SE,No,No,,,
27-01-2022,Andhra Pradesh,21.2,43.2,N,No,No,,,
28-01-2022,Andhra Pradesh,30.7,45.7,NE,No,No,,,
29-01-2022,Andhra Pradesh,33.9,43.4,NNW,No,No,,,
30-01-2022,Andhra Pradesh,29.4,43.1,ESE,No,No,,,
31-01-2022,Andhra Pradesh,27.5,41.1,SE,No,No,,,
01-02-2022,Andhra Pradesh,25.9,40.6,SE,No,No,,,
02-02-2022,Andhra Pradesh,28.3,38.8,SE,No,No,,,
03-02-2022,Andhra Pradesh,21.5,36.3,W,No,No,,,
04-02-2022,Andhra Pradesh,19.3,33,SW,No,No,,,
05-02-2022,Andhra Pradesh,19.1,35.6,SW,No,No,,,
06-02-2022,Andhra Pradesh,21,43.9,NW,No,No,,,
07-02-2022,Andhra Pradesh,25.8,41.5,NNW,No,No,,,
08-02-2022,Andhra Pradesh,18.6,24.8,SSE,No,No,,,
09-02-2022,Andhra Pradesh,14.7,23.3,SSE,No,No,,,
10-02-2022,Andhra Pradesh,13.7,21.1,SSE,No,No,,,
11-02-2022,Andhra Pradesh,13.2,21.3,SSE,No,No,,,
12-02-2022,Andhra Pradesh,12.5,23.8,SSE,No,No,,,
13-02-2022,Andhra Pradesh,15.2,28.8,NNW,No,No,,,
14-02-2022,Andhra Pradesh,18.3,31.3,SSE,No,No,,,
15-02-2022,Andhra Pradesh,17.2,30,W,No,No,,,
